,station,date,DAPR,MDPR,PRCP,SNOW,SNWD,WESD,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
96,GHCND:USC00120014,2019-04-07T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
97,GHCND:USC00120014,2019-04-08T00:00:00,,,33.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
98,GHCND:USC00120014,2019-04-09T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
99,GHCND:USC00120014,2019-04-10T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
100,GHCND:USC00120014,2019-04-11T00:00:00,,,8.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
101,GHCND:USC00120014,2019-04-12T00:00:00,,,79.0,229.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
102,GHCND:USC00120014,2019-04-13T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
103,GHCND:USC00120014,2019-04-14T00:00:00,,,33.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
104,GHCND:USC00120014,2019-04-15T00:00:00,,,211.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
105,GHCND:USC00120014,2019-04-16T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
106,GHCND:USC00120014,2019-04-17T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
107,GHCND:USC00120014,2019-04-18T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
108,GHCND:USC00120014,2019-04-19T00:00:00,,,208.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
109,GHCND:USC00120014,2019-04-20T00:00:00,,,25.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
110,GHCND:USC00120014,2019-04-21T00:00:00,,,46.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
111,GHCND:USC00120014,2019-04-22T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
112,GHCND:USC00120014,2019-04-23T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
113,GHCND:USC00120014,2019-04-24T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
114,GHCND:USC00120014,2019-04-25T00:00:00,,,23.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
115,GHCND:USC00120014,2019-04-26T00:00:00,,,249.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
116,GHCND:USC00120014,2019-04-27T00:00:00,,,33.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
117,GHCND:USC00120014,2019-04-28T00:00:00,,,160.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
118,GHCND:USC00120014,2019-04-29T00:00:00,,,3.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
119,GHCND:USC00120014,2019-04-30T00:00:00,,,114.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
120,GHCND:USC00120014,2019-05-01T00:00:00,,,318.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
121,GHCND:USC00120014,2019-05-02T00:00:00,,,13.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
122,GHCND:USC00120014,2019-05-03T00:00:00,,,64.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
123,GHCND:USC00120014,2019-05-04T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
124,GHCND:USC00120014,2019-05-05T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
125,GHCND:USC00120014,2019-05-06T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
126,GHCND:USC00120014,2019-05-07T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
127,GHCND:USC00120014,2019-05-08T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
128,GHCND:USC00120014,2019-05-09T00:00:00,,,48.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
129,GHCND:USC00120014,2019-05-10T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
130,GHCND:USC00120014,2019-05-11T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
131,GHCND:USC00120014,2019-05-12T00:00:00,,,25.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
132,GHCND:USC00120014,2019-05-13T00:00:00,,,46.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
133,GHCND:USC00120014,2019-05-14T00:00:00,,,0.0,0.0,0.0,,301.8,2010-05-01,2020-03-19,41.3526,"AVILLA 3 SW, IN US",0.9996,METERS,-85.2962
